PROGRAM NAME,PROGRAM CODE,PROGRAM CODE 2 ,PROGRAM CODE 3,COURSE CODE,COURSE CODE 2,COURSE CODE3,COURSE CODE 4,Work integrated learning type,WIL TYPE 2,WIL TYPE 3,WIL TYPE 4,,Primary Key,designation,Contact Name,Address,City,Postal Code,Paid/Unpaid,"22F
# of Students Placed","23W
# of Students Placed",PAC/PLACE/CAREER
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 281,,,Simulation,Simulation,,,,9d383ceb-d9b8-46f4-95fa-4a29ca4e4c22,,0,"Tecumseh Rd E, Windsor, ON N8N 1M5",,,,4,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 282,,,Simulation,Simulation,,,,53d5b9a3-c90b-46d0-86df-963ada769e5c,,Tammy,"Ontario St, Stratford, ON N5A 3J5",,,,3,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 283,,,Simulation,Simulation,,,,eccd42ce-90cb-4cae-bc9d-d106bfd30557,,G,"Erie St. S., Leamington, ON N8H 5J6",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 284,,,Simulation,Simulation,,,,69206b8c-20d3-487a-b2c8-83748ea11249,,0,"Wyandotte St. W. Windsor, ON N9B 1J8",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 285,,,Simulation,Simulation,,,,a42f8522-f067-4a21-9679-38b948f7f301,,Ken,"Victoria Ave., Belleville, ON K8N 2B1",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 286,,,Simulation,Simulation,,,,0aa610d9-02c5-4c79-9039-351366731f5b,,Jennifer,"Tecumseh Rd. E., Windsor, ON N8T 3K7",,,,4,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 287,,,Simulation,Simulation,,,,ffb92656-d254-4d99-ac74-039c3332f452,,Angela,"Huron Church Rd., Windsor, ON",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 288,,,Simulation,Simulation,,,,826e29e6-2cc9-4707-92a2-5e26533969a6,,0,"Broadway, Tillsonburg, ON N4G 3S7",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 289,,,Simulation,Simulation,,,,daab7230-7d25-41e8-bd58-6205fbe43a0e,,0,"Grand Avenue East, Chatham, ON, N7L 1X1",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 290,,,Simulation,Simulation,,,Duplicate,daab7230-7d25-41e8-bd58-6205fbe43a0e,,0,"Oak St. E., Leamington, ON N8H 4V4",,,,3,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 291,,,Simulation,Simulation,,,Duplicate,5503453b-f3f4-403f-9f85-d563057b1d1e,,Sherry,"Cabana Rd. E., Windsor, ON ",,,,5,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 292,,,Simulation,Simulation,,,,99a5b7ed-ff5c-479f-923f-27a2ec6d2c99,,Jennifer,"Sunset Ave., Windsor, ON N9B 3P4",,,,6,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 293,,,Simulation,Simulation,,,,c778a57e-289a-4308-b549-58f9e09365b4,,0,"Centre Rd, Strathroy, ON N7G 3H6",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 294,,,Simulation,Simulation,,,,5528fbb9-ad20-4902-b77d-1a233bcfa994,,"Megan,","Cathcart Blvd,Sarnia, ON N7S 2Z4",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 295,,,Simulation,Simulation,,,,3fe5f00c-cd82-491b-b33b-7b7090d1f43a,,"Josi,","Grand Marais  Rd. W. Windsor, ON N9E 1E5",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 296,,,Simulation,Simulation,,,,2492175c-6e4f-41c1-ac70-baeaa77d16b7,,Laura,"Essex County Rd. 22 #, Emeryville, ON N0R 1C0",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 297,,,Simulation,Simulation,,,,6620818e-8b8e-4e3b-bbf0-54f6a17ed24b,,Ruth,"Tecumseh Rd E, Windsor, ON N8W 1H8",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 298,,,Simulation,Simulation,,,,b77ae9c5-c192-40ec-9c47-ee57159b5c64,,Charles,"Tecumseh Rd. E. #140, Windsor, ON N8X 4X9",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 299,,,Simulation,Simulation,,,,48eacfb4-8e92-4964-9ad9-255769edb403,,Elizabeth,"Finch Dr. Unit, Sarnia, ON N7S 6G5",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 300,,,Simulation,Simulation,,,,84f212de-8c40-41d7-8553-0dba2473659f,,"Mona,","Creditview Rd Unit , Mississauga, ON L5V 2A8",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 301,,,Simulation,Simulation,,,,cfd05267-1308-42a0-b394-e736c0a54246,,Wendy,"Walker Rd, Windsor ON, N8Y 4X9",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 302,,,Simulation,Simulation,,,,3dcb5255-4deb-4522-8e32-994c077f3cc2,,De,"Erie St. E., Windsor, ON N9A 3X9",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 303,,,Simulation,Simulation,,,,9a5fb960-1c10-449f-b685-b6e4354455f8,,Derek,"Essex County Rd. 22, Emeryville, ON N0R 1C0",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 304,,,Simulation,Simulation,,,,da50a6fd-08f7-4fc6-b5e9-d112195e42ba,,0,"North Service Rd. E. Unit, Windsor, ON N8W 5R7",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 305,,,Simulation,Simulation,,,,f61d84a6-0ac2-45c2-871a-8d6d829d9f45,,Katie,"Wyandotte St. E., Windsor, ON N8S 1M6",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 306,,,Simulation,Simulation,,,,7f02fbe6-318b-4575-8332-123fd0b6cd3d,,M.,"Duncan St., Wallaceburg, ON N8A 4E2",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 307,,,Simulation,Simulation,,,,466670a9-a45f-482f-bd08-aed491193334,,Katie,"King St E, Kitchener, ON N2P 2E9",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 308,,,Simulation,Simulation,,,,b956dd29-31cb-486f-8ae6-6dd43c5ef308,,0,"Howard Ave. #1, Windsor, ON N8X 4Z3",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 309,,,Simulation,Simulation,,,,ba2798b9-7c7d-4130-b575-ffc88278ab12,,Jane,"Tecumseh Rd., Windsor, ON N8N 1M5",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 310,,,Simulation,Simulation,,,,c383f016-eb9a-4966-90d9-3f99b4216b47,,Nora,"Dougall Ave. Suite, Winsdor, ON N9E 1S8",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 311,,,Simulation,Simulation,,,Duplicate,5a639ddb-2f7e-4f3d-90c4-904269cb42d0,,Margo,"Harvey St., Chatham, ON N7M 1L5",,,,4,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 312,,,Simulation,Simulation,,,,8b808d8b-34b0-4c16-8159-8b7b455073c4,,0,"Dougall Ave. Unit Windsor, ON N9G 1X2",,,,3,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 313,,,Simulation,Simulation,,,,d5657578-6a6f-4c65-b26a-089df3741784,,"Iliana,","Tecumseh Rd E #2, Windsor, ON N8W 1H6",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 314,,,Simulation,Simulation,,,,d64f53b2-4be2-4ccd-a188-5a06861d257a,,Brode ,"Forest Glade, Windsor, ON N8R 1W6",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 315,,,Simulation,Simulation,,,,f98fdf3b-5f04-4743-81b9-25e077aa7338,,"Corrie,","N Centre Rd. Suite , London, ON N5X 4E7",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 316,,,Simulation,Simulation,,,,2a265dab-1dc9-4bf4-bf1a-75c00ee42351,,Linda;,"Walker Rd., Windsor, ON N8W 5L7",,,,4,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 317,,,Simulation,Simulation,,,,04f63685-05d8-4b9e-aaff-05310339b66a,,Craven,"Ingersoll Ave. Suite, Woodstock, ON N4S 4X9",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 318,,,Simulation,Simulation,,,,74234fe0-8dd8-43c1-a53c-f63d17b0074a,,0,"Ouellette Ave. Windsor, ON N9A 1B3",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 319,,,Simulation,Simulation,,,,a1f28e9a-8b44-41d6-acc6-06dd6470fc60,,Rocca,"Michigan Ave., Point Edward, ON N7V 1G8",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 320,,,Simulation,Simulation,,,,912eb76f-e6fb-4263-8382-33debd76d2b7,,Amanda,"Main St. E., Kingsville, ON N9Y 1A3",,,,3,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 321,,,Simulation,Simulation,,,,34fe9f53-65f6-484b-96c6-31087e69681d,,Pamela,"Howard Ave, Windsor, ON N8X 3V6",,,,5,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 322,,,Simulation,Simulation,,,,898f12eb-9b0d-4eec-8ff2-3f92a9f833ab,,"Jennifer,","Exmouth St, Sarnia, ON N7T 5P7",,,,6,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 323,,,Simulation,Simulation,,,,f0b4421a-a399-4ccc-88cf-5444bf165b78,,Carrie,"Front Rd, Windsor, ON N9J 2B6",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 324,,,Simulation,Simulation,,,,046da67e-1b1a-41b0-a543-87c8dcb9258a,,Dorothy,"Princess St, Leamington, ON N8H 2Y3",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 325,,,Simulation,Simulation,,,,0bfb1dcd-6135-435c-87b6-2e6f409c63d0,,Michaela,"Lakeshore Rd., Sarnia, ON N7V 2V8",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 326,,,Simulation,Simulation,,,,20fa4214-9c1f-483f-996e-bd18281479b9,,0,"Cabana Rd E, Windsor, ON N9G 1A5",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 327,,,Simulation,Simulation,,,,b3f08e4f-c7bb-46f0-a8c5-6e73fad69c80,,0,"Robson Rd., Leamington, ON N8H 2M8",,,,4,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 328,,,Simulation,Simulation,,,,44f75c83-c0f4-428d-9b2e-a94b3135b4db,,Stelica,"Pelissier St, Windsor, ON N9A 4L1",,,,3,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 329,,,Simulation,Simulation,,,,2846b4a7-84e8-44f3-8cba-081d26476ede,,Natasha,"Eugenie St. E. 2nd Floor, Windsor, ON N8X 2X8",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 330,,,Simulation,Simulation,,,,ccb81974-c580-4597-9748-5e6d83c06a41,,Debbie,"Richmond St. Amherstburg, ON N9V 1G2",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 331,,,Simulation,Simulation,,,,0ce20646-1d7b-49bb-8425-a5ce74932f7a,,Debbie,"Tecumseh Rd. E., Windsor, ON N8R 1A5",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 332,,,Simulation,Simulation,,,,48c46902-4f24-4e0b-85bb-4ac9400ce24d,,Laurie,"Main St. E., Kingsville, ON N9Y 1H1",,,,4,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 333,,,Simulation,Simulation,,,,3d1255a8-3f66-4adb-ae51-6e09e33a7e23,,Debbie,"Gosfield Townline E., Essex, ON N8M 2R5",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 334,,,Simulation,Simulation,,,,cf9ec895-3cef-4be6-acf8-5782bf9c2cb8,,Eksa,"Talbot St. S. Suite , Essex, ON N8M 1B6",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 335,,,Simulation,Simulation,,,,df7caf56-cccb-4770-91fc-b1a8d5791817,,Tenecia,"Sandwich W Pkwy #900, Lasalle, ON N9H 2S4",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 336,,,Simulation,Simulation,,,Duplicate,c5d8a52a-c24f-4763-ae5d-8d55d0b42aca,,"Aversa,","Howard Ave., Windsor, ON N8X 3W7",,,,3,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 337,,,Simulation,Simulation,,,,0ed4da02-7b5c-4cb6-b4fd-d9f9af03c00b,,"Tina,","Crownridge Blvd, Amherstburg, ON N9V 3W3",,,,5,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 338,,,Simulation,Simulation,,,,8d08f82f-71f4-4f8e-b8f3-f28752d2c819,,Britney,"Main St Unit #, Glencoe, ON N0L 1M0",,,,6,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 339,,,Simulation,Simulation,,,,cb3e2ee0-8eea-467a-a49b-d9af231cc973,,Sue,"Ontario St S, Grand Bend, ON N0M 1T0",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 340,,,Simulation,Simulation,,,,0ba25863-675f-460c-a596-7d19305088d9,,Ayron,"Main St N, Grand Valley, ON L9W 5S6",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 341,,,Simulation,Simulation,,,,cf7e8f6f-72c4-41ea-85c4-5d1a4454acd2,,Brandi,"Manning Rd., Tecumseh, ON N8N 2L9",,,,4,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 342,,,Simulation,Simulation,,,,411a2637-5d1b-4ca2-89cd-51598f404038,,Sydney,"Dougall Ave., Windsor, ON N9E 0A2",,,,3,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 343,,,Simulation,Simulation,,,Duplicate,7e7d0825-52ee-4c44-8ef7-3abbf1713a09,,0,"Grand Marais Rd. W #100 Windsor, ON N9E 1E3",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 344,,,Simulation,Simulation,,,,75b8ebed-6d6e-4a1d-a8c4-7435e8bb14d1,,Tracy,"Erie St. S., Harrow, ON N0R 1G0",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 345,,,Simulation,Simulation,,,,ddd74c70-5d22-426b-bee5-250c6c7c6123,,Melanie,"Baldoon Rd., Chatham ON N7L 0C1",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 346,,,Simulation,Simulation,,,,dc65ea27-34f5-48c8-9b16-1755492fa126,,Gloria,"Tecumseh Rd E. Suite, Windsor, ON N8X 4X9",,,,4,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 347,,,Simulation,Simulation,,,,7057b9bb-63ff-401e-a83a-3a00164321a1,,"Candace,","Erie St. N., Leamington, ON N8H 2Z4",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 348,,,Simulation,Simulation,,,,3dbde07f-0979-43ee-a154-39b3dbd4d7e0,,Courtney,"Main St. E., Kingsville, ON N9Y 1A1",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 349,,,Simulation,Simulation,,,,a15e7933-e713-49fa-b989-388c0cf9ab6b,,0,"Main St. E., Kingsville, ON N9Y 1A6",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 350,,,Simulation,Simulation,,,,c8c3f9dc-0172-4969-9f40-039846032761,,Jill,"Notre Dame St., Belle River, ON N0R 1A0",,,,3,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 351,,,Simulation,Simulation,,,,2c01ed5d-64bd-495b-a11f-078b61950458,,Jessica,"Advance Blvd. #170, Tecumseh, ON N8N 0B8",,,,5,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 352,,,Simulation,Simulation,,,,b6de8d96-db99-4a59-a7b4-a4c64dc63565,,Mike,"Exmouth St., Sarnia, ON N7T 5N8",,,,6,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 353,,,Simulation,Simulation,,,,c697215d-9255-46c8-b29f-887d758fe469,,Nicole,"Malden Rd., Windsor, ON N9H 1S4",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 354,,,Simulation,Simulation,,,,9b235a80-46c0-4851-8297-a2b320efb32d,,Nguyen;,"Clark St. W., Leamington, ON N8H 1E4",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 355,,,Simulation,Simulation,,,,4ed6035b-801f-4ae8-9af3-7124e9f8b15c,,Sabrina,"Lauzon Rd Windsor, ON N8S 3M9",,,,4,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 356,,,Simulation,Simulation,,,,84be23ab-0e8f-497c-8ea6-29c726a47750,,Amy,"Grand Ave W, Chatham-Kent, ON N7L 1C2",,,,3,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 357,,,Simulation,Simulation,,,,24396175-c7a4-43a0-8980-21fe4065a2f5,,0,"Tecumseh Rd. E., Windsor, ON N8W 1C6",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 358,,,Simulation,Simulation,,,,c15460fb-2e51-48d3-867a-3a17b06eb5f8,,Mena,"Malden Rd., Windsor, ON N9H 1S6",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 359,,,Simulation,Simulation,,,,9fcd194e-8a7d-48c8-910c-a2ec0847be8d,,Melissa,"McNaughton Ave., Wallaceburg, Ontario N8A 1R9",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 360,,,Simulation,Simulation,,,,d88cb89b-98f2-4d35-b359-9985d11de701,,Jennifer,"Glendon Dr. Unit, Komoka, ON N0L 1R0",,,,4,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 361,,,Simulation,Simulation,,,,28cb565e-62dc-4ad6-b2dc-f91cbecfe277,,Debbie,"Tecumseh Rd. E., Windsor ON N8W 1K6",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 362,,,Simulation,Simulation,,,,2d90f425-bbb4-4efc-873d-24cb20ea1174,,"Marilyn,","Erie St. S., Leamington, ON",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 363,,,Simulation,Simulation,,,,e4429b78-9645-4ecd-a99e-81cf3c2ccdb7,,Lisa,"Grand Ave E, Chatham-Kent, ON N7L 3Z2",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 364,,,Simulation,Simulation,,,Duplicate,0c78d615-3cca-44a9-85f2-302bf72dd2f9,,Amrochi,"Mill Rd Unit, Mount Brydges, ON N0L 1W0",,,,3,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 365,,,Simulation,Simulation,,,,76194e89-8bbd-4fb1-b084-701510aa0617,,Debbie,"Concession Dr, Newbury, ON N0L 1Z0",,,,5,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 366,,,Simulation,Simulation,,,,2ce0cd1a-3c49-4615-bae3-0646daa919cd,,Krystle,"St. Clair St., Chatham, ON N7L 3K6",,,,6,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 367,,,Simulation,Simulation,,,,c01248af-9d57-4d5e-9ab0-a5cff0e7f6ce,,"Debra Mullen, Manager",,,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 368,,,Simulation,Simulation,,,,41c457dc-3ef7-43ab-8f36-38412b371e05,,"Rebeca,","Carling Ave., Ottawa, ON K1Z 8R9",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 369,,,Simulation,Simulation,,,,d8b493b0-41e1-4b7f-ad1b-2fa0be738905,,0,,,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 370,,,Simulation,Simulation,,,,aab86d2f-9c1a-422a-952f-7f0ecec16484,,0,,,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 371,,,Simulation,Simulation,,,,f9761530-be2d-42ad-bf5c-14492b9e8453,,Dennis,"Sandwich St. S., Amherstburg, ON N9V 1Z9",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 372,,,Simulation,Simulation,,,,4e278060-4890-4502-833f-27cd9a925784,,Michael,"Albany St., Petrolia, ON",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 373,,,Simulation,Simulation,,,,fc08107b-083a-410f-9ea3-4aa643b278b6,,Jennifer,"Talbot St. S., Essex, ON N8M 1B3",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 374,,,Simulation,Simulation,,,,c7ad49f8-48c8-4974-9860-8b6087b747c9,,Zachary,"Provincial Rd. #1, Windsor, ON N8W 5V7",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 375,,,Simulation,Simulation,,,Duplicate,c8e33bce-60cd-4ce3-97b4-6466ecb399df,,Heba,"Tecumseh Rd. E., Windsor, ON N8X 5E8",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 376,,,Simulation,Simulation,,,Duplicate,6ec6603c-37a0-4a40-8452-0428e82e6464,,Jen,"Dougall Avenue, Windsor, ON, N9G 1X3",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 377,,,Simulation,Simulation,,,Duplicate,4aa9eb55-ac7a-4e84-aefd-57eaa9a5536d,,0,Lesperance Rd. Tecumseh ON N8N 1W8,,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 378,,,Simulation,Simulation,,,,d5b7b651-b619-4ae1-aa13-bb6efd102ca0,,Sharon,"Tecumseh Rd. W., Windsor, ON N9B 1T5",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 379,,,Simulation,Simulation,,,,f23ff718-79fb-4fc8-8912-00e2bb4d03d4,,"Carolyn,","Ouellette Ave, Windsor, ON N9A 1C9",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 380,,,Simulation,Simulation,,,,8d385bb0-6b5b-4763-b0c8-a8a460308847,,Brittany,"Broadway Suite , Tillsonburg, ON N4G 5K9",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 381,,,Simulation,Simulation,,,,ad5f8ca2-c8b8-4421-a9ef-dd3b32942cad,,Bianca,"Southdale Rd. E., London, ON N6E 3M2",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 382,,,Simulation,Simulation,,,,510adafb-340d-4e9a-a59a-78271a83e78e,,Jolanta,"City Centre Dr., # Mississauga , ON  L5B 1M3",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 383,,,Simulation,Simulation,,,,0e687f38-b3ce-4fe1-931b-393244ac5a6c,,"Danielle,","-  Main Street East, Kingsville, ON N9Y 1A5",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 384,,,Simulation,Simulation,,,,faeca567-90a8-4f41-b9fe-79d4f7011f32,,Amanda,"Tecumseh Rd. E. Suite, Windsor, ON N8X 4E7",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 385,,,Simulation,Simulation,,,,58f262f3-5ce3-437f-b1b1-a21897a5fdd2,,"Heather,","Tecumseh Rd. E., Windsor, ON N8N 3N7",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 386,,,Simulation,Simulation,,,,c2e975c3-94db-4b07-8161-677ccb777212,,0,"Steeles Ave., Brampton, ON L6Y 4E7",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 387,,,Simulation,Simulation,,,,e1dddae3-8cab-43e6-b6ee-d6652997cbb0,,0,"Airport Rd. #2, Mississauga, ON L4T 2H5",,,,4,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 388,,,Simulation,Simulation,,,,5f0c9956-4d7e-4de2-a8ee-bd768fc979bf,,"Courtney,","Caradoc St. South Unit , Strathroy, ON, N7G 2P3",,,,3,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 389,,,Simulation,Simulation,,,,14213ef6-9f1a-411c-bced-f080eb1cb35e,,Sandy,Grand Marais Rd. W Windsor ON N9E 1E2,,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 390,,,Simulation,Simulation,,,Duplicate,42dd29e3-116e-4acd-8433-064b627cbb7a,,Britney,"Victoria Street, Thamesville, ON",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 391,,,Simulation,Simulation,,,,1ccd7ce7-8e9b-4324-851e-07451cdbb7e7,,Rochelle,"Ouellette Ave., Windsor, ON N8X 1K7",,,,1,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 392,,,Simulation,Simulation,,,,3abf2a14-1882-45fd-a092-61e7f97b6eb3,,Debbie,"Jeffrey St W, Tilbury, ON N0P 2L0",,,,4,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 393,,,Simulation,Simulation,,,,62db34ce-1c53-4ce0-9632-3852c70a385b,,Nathan,"Broadway Apt 100, Tillsonburg, ON N4G 0H8",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 394,,,Simulation,Simulation,,,,28afbe16-82c2-43e6-a78b-8d62cca8fc59,,"Angela,","Sprucewood Ave, Windsor, ON N9J 1X7",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 395,,,Simulation,Simulation,,,,d24868ab-8fca-4ec1-a44f-4bdc3d13b68c,,Eksa,"Lesperance Rd, Windsor, ON N8N 1Y3",,,,2,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 396,,,Simulation,Simulation,,,,e281ff64-fcd6-47eb-9dbb-e6a8ff636824,,Denise,"Hawthorne Dr., Windsor, ON N8T 3N3",,,,3,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 397,,,Simulation,Simulation,,,,63f2d19e-4446-400f-9810-63fc6735d3cb,,Pona,"Walker Rd. Suite, Windsor, ON N8Y 4T9",,,,5,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 398,,,Simulation,Simulation,,,,2d38f460-5abd-472a-b542-a8a31d5739ce,,"Jody,","Ottawa St., Windsor, ON N8X 2E8",,,,6,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 399,,,Simulation,Simulation,,,,5325322c-adae-432e-be64-4472637ce432,,"Megan,","Dufferin Ave, Wallaceburg, ON N8A 2W3",,,,,,Placement 
Dental Assisting Level I and II,H915,,,DTL 175A,DTL 400,,,Simulation,Simulation,,,,3b755b69-03c2-4362-98a9-7187c1935cfd,,AnneMarie,"Tecumseh Rd. E., Windsor, ON N8T 1C2",,,,,,Placement 
